creator,creatorLabel,linkcount
http://www.wikidata.org/entity/Q314889,Pieter de Hooch,36
http://www.wikidata.org/entity/Q347194,Lewis Hine,36
http://www.wikidata.org/entity/Q310973,Lorenzo Lotto,36
http://www.wikidata.org/entity/Q309635,Pietro Lorenzetti,36
http://www.wikidata.org/entity/Q319331,Josiah Wedgwood,36
http://www.wikidata.org/entity/Q164712,Paul Delvaux,36
http://www.wikidata.org/entity/Q313055,Alfred Stieglitz,36
http://www.wikidata.org/entity/Q318427,Mikhail Nesterov,36
http://www.wikidata.org/entity/Q157578,Alexander Archipenko,36
http://www.wikidata.org/entity/Q122382,Henry Fuseli,36
http://www.wikidata.org/entity/Q232423,Judith Leyster,36
http://www.wikidata.org/entity/Q312950,Louis Comfort Tiffany,35
http://www.wikidata.org/entity/Q231861,Berenice Abbott,35
http://www.wikidata.org/entity/Q248615,Benozzo Gozzoli,35
http://www.wikidata.org/entity/Q333380,Gerard David,35
http://www.wikidata.org/entity/Q469439,Shitao,35
http://www.wikidata.org/entity/Q241732,Rosa Bonheur,35
http://www.wikidata.org/entity/Q122363,Mario Botta,35
http://www.wikidata.org/entity/Q65317,Godfrey Kneller,35
http://www.wikidata.org/entity/Q332494,Luca Giordano,35
http://www.wikidata.org/entity/Q313561,Dieric Bouts,35
http://www.wikidata.org/entity/Q334262,Guercino,35
http://www.wikidata.org/entity/Q161145,Horace Vernet,35
http://www.wikidata.org/entity/Q314655,Maurice Quentin de La Tour,35
http://www.wikidata.org/entity/Q313310,Jacopo Bellini,35
http://www.wikidata.org/entity/Q216999,Antoine-Jean Gros,35
http://www.wikidata.org/entity/Q265131,Lee Miller,35
http://www.wikidata.org/entity/Q318640,Antonio del Pollaiolo,35
http://www.wikidata.org/entity/Q365068,Peder Severin Krøyer,35
http://www.wikidata.org/entity/Q538587,Cartier,35
http://www.wikidata.org/entity/Q345379,Julian Schnabel,34
http://www.wikidata.org/entity/Q335927,Gerrit Dou,34
http://www.wikidata.org/entity/Q325925,Balthus,34
http://www.wikidata.org/entity/Q216873,Pierre Puvis de Chavannes,34
http://www.wikidata.org/entity/Q312096,Thomas Lawrence,34
http://www.wikidata.org/entity/Q353008,Alexei Kondratievich Savrasov,34
http://www.wikidata.org/entity/Q354786,Jean-Louis-Ernest Meissonier,34
http://www.wikidata.org/entity/Q49898,Hyacinthe Rigaud,34
http://www.wikidata.org/entity/Q759210,Givenchy,34
http://www.wikidata.org/entity/Q318393,Vasily Polenov,34
http://www.wikidata.org/entity/Q239394,Édouard Vuillard,34
http://www.wikidata.org/entity/Q167414,František Kupka,34
http://www.wikidata.org/entity/Q313899,Edward Steichen,34
http://www.wikidata.org/entity/Q234370,Paula Modersohn-Becker,34
http://www.wikidata.org/entity/Q314275,Quentin Matsys,34
http://www.wikidata.org/entity/Q8506,Il Sodoma,34
http://www.wikidata.org/entity/Q313194,Aelbert Cuyp,34
http://www.wikidata.org/entity/Q163938,Jean Tinguely,34
http://www.wikidata.org/entity/Q320980,Lucas van Leyden,34
http://www.wikidata.org/entity/Q1066858,Tiffany & Co.,33
http://www.wikidata.org/entity/Q316016,John Singleton Copley,33
http://www.wikidata.org/entity/Q286670,Giovanni Paolo Panini,33
http://www.wikidata.org/entity/Q381088,Cristóbal Balenciaga,33
http://www.wikidata.org/entity/Q318769,Francesco Guardi,33
http://www.wikidata.org/entity/Q312616,Petrus Christus,33
http://www.wikidata.org/entity/Q346808,Gerard ter Borch,33
http://www.wikidata.org/entity/Q234279,Nan Goldin,33
http://www.wikidata.org/entity/Q314932,Giovanni Pisano,33
http://www.wikidata.org/entity/Q317920,Simon Vouet,33
http://www.wikidata.org/entity/Q285423,Sebastiano del Piombo,32
http://www.wikidata.org/entity/Q7129,Cosimo Tura,32
http://www.wikidata.org/entity/Q237726,Rosalba Carriera,32
http://www.wikidata.org/entity/Q238364,Margaret Bourke-White,32
http://www.wikidata.org/entity/Q187850,Mathew Brady,32
http://www.wikidata.org/entity/Q466946,Tina Modotti,32
http://www.wikidata.org/entity/Q305497,Richard Avedon,32
http://www.wikidata.org/entity/Q316422,Hector Guimard,32
http://www.wikidata.org/entity/Q29447,Cosimo Rosselli,32
http://www.wikidata.org/entity/Q314278,Thomas Chippendale,32
http://www.wikidata.org/entity/Q374504,Barnett Newman,32
http://www.wikidata.org/entity/Q318352,Felice Beato,32
http://www.wikidata.org/entity/Q170259,Léon Bonnat,32
http://www.wikidata.org/entity/Q44723,Tilman Riemenschneider,31
http://www.wikidata.org/entity/Q164735,Johan Christian Dahl,31
http://www.wikidata.org/entity/Q315996,Jan van Goyen,31
http://www.wikidata.org/entity/Q163543,François Gérard,31
http://www.wikidata.org/entity/Q168659,Franz Xaver Winterhalter,31
http://www.wikidata.org/entity/Q363823,Christoffer Wilhelm Eckersberg,31
http://www.wikidata.org/entity/Q155575,Martin Schongauer,31
http://www.wikidata.org/entity/Q591907,Anton Mauve,31
http://www.wikidata.org/entity/Q346502,Jacopo Bassano,31
http://www.wikidata.org/entity/Q167132,George Bellows,31
http://www.wikidata.org/entity/Q347139,Jean-Baptiste Greuze,31
http://www.wikidata.org/entity/Q159566,Cy Twombly,31
http://www.wikidata.org/entity/Q8511,Lorenzo di Credi,31
http://www.wikidata.org/entity/Q233088,Marie Laurencin,31
http://www.wikidata.org/entity/Q165113,Grand Duchess Xenia Alexandrovna of Russia,31
http://www.wikidata.org/entity/Q362003,Giovanni Boldini,31
http://www.wikidata.org/entity/Q451400,René Lalique,31
http://www.wikidata.org/entity/Q766362,William Etty,31
http://www.wikidata.org/entity/Q169984,Gino Severini,31
http://www.wikidata.org/entity/Q232972,Sonia Delaunay,31
http://www.wikidata.org/entity/Q236161,Dora Maar,31
http://www.wikidata.org/entity/Q381728,George Stubbs,31
http://www.wikidata.org/entity/Q234109,Barbara Hepworth,31
http://www.wikidata.org/entity/Q41402,Gilbert Stuart,30
http://www.wikidata.org/entity/Q318584,Thomas Rowlandson,30
http://www.wikidata.org/entity/Q375268,Frank Stella,30
http://www.wikidata.org/entity/Q313498,Benjamin West,30
http://www.wikidata.org/entity/Q355213,Gabriel Metsu,30
http://www.wikidata.org/entity/Q318741,Jean-Antoine Houdon,30
http://www.wikidata.org/entity/Q362016,Stefano di Giovanni,30
http://www.wikidata.org/entity/Q348024,Carlo Crivelli,30
http://www.wikidata.org/entity/Q363308,Walker Evans,30
http://www.wikidata.org/entity/Q352438,Adriaen van Ostade,30
http://www.wikidata.org/entity/Q374039,Ferdinand Bol,30
http://www.wikidata.org/entity/Q365682,Gordon Parks,30
http://www.wikidata.org/entity/Q326434,Thomas Couture,30
